10644312:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11972988.doc	2026-02-22	ועדת הכספים
10274044:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11570485.doc	2026-02-02	ועדת החינוך התרבות והספורט
10089263:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11369564.doc	2026-01-27	ועדת החוקה, חוק ומשפט
11185035:1	https://fs.knesset.gov.il/25/Committees/25_ptv_12560735.doc	2026-01-28	ועדת העבודה והרווחה
11448196:1	https://fs.knesset.gov.il/25/Committees/25_ptv_12846741.doc	2026-02-09	הוועדה לקידום מעמד האישה ולשוויון מגדרי
10389009:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11695483.doc	2026-02-08	ועדת החינוך התרבות והספורט
9819037:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11076715.doc	2026-01-25	ועדת המשנה לתוכניות הלימודים במזרח ירושל
10738070:1	https://fs.knesset.gov.il/25/Committees/25_ptv_12074911.doc	2026-01-21	ועדת הפנים והגנת הסביבה
10985163:1	https://fs.knesset.gov.il/25/Committees/25_ptv_12343478.doc	2026-02-03	ועדת החינוך התרבות והספורט
9907829:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11172273.doc	2026-01-19	הוועדה המשותפת לוועדת החוץ והביטחון ולוו
10528127:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11846711.doc	2026-01-19	הוועדה המיוחדת לעובדים זרים
10422756:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11732163.doc	2026-01-20	ועדת הכלכלה
9803751:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11060101.doc	2026-01-12	ועדת החוץ והביטחון
10422338:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11731709.doc	2026-01-12	ועדת הכלכלה
10273505:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11569899.doc	2026-01-13	ועדת העלייה, הקליטה והתפוצות
10158706:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11445042.doc	2026-01-26	הוועדה לביטחון לאומי
11182372:1	https://fs.knesset.gov.il/25/Committees/25_ptv_12557844.doc	2026-01-26	הוועדה לביטחון לאומי
9855808:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11116671.doc	2026-01-04	ועדת המדע והטכנולוגיה
9681983:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10927667.doc	2025-12-31	הוועדה לביטחון לאומי
10091896:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11372423.doc	2025-12-30	ועדת העבודה והרווחה
10122602:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11405798.doc	2026-01-07	ועדת החינוך התרבות והספורט
9799017:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11054896.doc	2026-01-06	ועדת החוקה, חוק ומשפט
9507391:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10715059.doc	2025-12-23	ועדת החוקה, חוק ומשפט
9733317:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10983487.doc	2025-12-25	ועדת הפנים והגנת הסביבה
9681538:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10927183.doc	2025-12-23	ועדת העבודה והרווחה
9440245:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10642276.doc	2025-12-22	ועדת החוץ והביטחון
9925054:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11190992.doc	2025-12-16	ועדת החוקה, חוק ומשפט
9439540:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10641511.doc	2025-12-16	ועדת החוקה, חוק ומשפט
9765370:1	https://fs.knesset.gov.il/25/Committees/25_ptv_11018324.doc	2025-12-30	ועדת הכספים
9358160:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10552729.doc	2025-12-09	הוועדה המיוחדת לעובדים זרים
9438357:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10640226.doc	2025-12-09	הוועדה המיוחדת לטיפול בשורדי השואה
9049912:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10215386.doc	2025-11-24	ועדת הכנסת
9328968:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10520763.doc	2025-12-07	ועדת החוץ והביטחון
9358859:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10553494.doc	2025-12-09	ועדת החוץ והביטחון
9283272:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10470685.doc	2025-12-02	הוועדה לביטחון לאומי
8951642:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10107689.doc	2025-11-18	הוועדה לפיקוח על הקרן לאזרחי ישראל
9049257:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10214669.doc	2025-11-24	הוועדה לביטחון לאומי
9076092:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10244060.doc	2025-11-26	הוועדה לענייני ביקורת המדינה
9437796:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10639617.doc	2025-12-02	הוועדה המיוחדת לטיפול בשורדי השואה
8824880:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9968789.doc	2025-11-10	ועדת העבודה והרווחה
8829074:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9973387.doc	2025-11-12	הוועדה לענייני ביקורת המדינה
9021348:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10184099.doc	2025-11-17	הוועדה לקידום מעמד האישה ולשוויון מגדרי
8786854:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9927094.doc	2025-11-05	הוועדה לקידום מעמד האישה ולשוויון מגדרי
8883915:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10033481.doc	2025-11-17	ועדת הכנסת
9223498:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10405217.doc	2025-11-17	ועדת החוץ והביטחון
8683436:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9813742.doc	2025-10-28	ועדת החוץ והביטחון
8756780:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9894139.doc	2025-11-03	ועדת הכלכלה
8417650:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9502268.doc	2025-10-20	ועדת הפנים והגנת הסביבה
9021136:1	https://fs.knesset.gov.il/25/Committees/25_ptv_10183867.doc	2025-10-20	ועדת הבריאות
8581172:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9693222.doc	2025-10-27	ועדת הכספים
8461281:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9554226.doc	2025-10-21	ועדת הפנים והגנת הסביבה
8281897:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9342418.doc	2025-09-17	ועדת הכלכלה
8349231:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9422614.doc	2025-09-30	ועדת החוקה, חוק ומשפט
8205701:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9253421.doc	2025-09-09	ועדת החוץ והביטחון
7691887:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8640887.doc	2025-08-07	ועדת העבודה והרווחה
8153053:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9194249.doc	2025-08-06	ועדת הכלכלה
7685088:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8632732.doc	2025-08-04	ועדת החינוך התרבות והספורט
7206169:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8061993.doc	2025-07-20	ועדת החוקה, חוק ומשפט
8089764:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9118318.doc	2025-07-21	הוועדה המיוחדת לעובדים זרים
8235530:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9289084.doc	2025-09-16	הוועדה המיוחדת לעובדים זרים
7758297:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8720550.doc	2025-08-13	ועדת המשנה לקידום מנופי צמיחה של ענף החק
8118229:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9152476.doc	2025-08-12	ועדת החוקה, חוק ומשפט
7480256:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8389126.doc	2025-07-15	הוועדה לביטחון לאומי
7612587:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8545771.doc	2025-07-28	ועדת הכלכלה
7192473:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8046137.doc	2025-07-15	ועדת העלייה, הקליטה והתפוצות
7657717:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8599893.doc	2025-07-16	הוועדה המיוחדת לצמצום פערים חברתיים בפרי
7474795:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8382577.doc	2025-07-08	הוועדה המיוחדת לפיקוח על תהליכי הסרת חסמ
7144457:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7992192.doc	2025-07-14	הוועדה לענייני ביקורת המדינה
7570638:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8495559.doc	2025-07-14	ועדת הפנים והגנת הסביבה
6993401:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7828805.doc	2025-06-29	ועדת הכלכלה
7120617:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7965706.doc	2025-07-08	הוועדה לביטחון לאומי
7570213:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8495050.doc	2025-07-08	ועדת הכלכלה
7305452:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8179371.doc	2025-07-01	הוועדה המיוחדת לעובדים זרים
6994525:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7830053.doc	2025-07-03	ועדת החוקה, חוק ומשפט
7492908:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8404306.doc	2025-07-02	ועדת הבריאות
6993511:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7828927.doc	2025-06-30	הוועדה המשותפת של ועדת החוקה, חוק ומשפט 
7492621:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8403963.doc	2025-07-01	ועדת הכספים
8446817:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9536990.doc	2025-06-11	ועדת המשנה למשאבי אנוש בצה"ל
6577876:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7369993.doc	2025-06-18	ועדת הכספים
6970759:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7803613.doc	2025-06-04	הוועדה המיוחדת לצמצום פערים חברתיים בפרי
6509395:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7293854.doc	2025-06-03	ועדת העלייה, הקליטה והתפוצות
6393086:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7164523.doc	2025-05-27	ועדת הכלכלה
6958878:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7790316.doc	2025-06-03	ועדת הפנים והגנת הסביבה
6392757:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7164158.doc	2025-05-26	ועדת הכספים
6514496:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7299524.doc	2025-06-10	ועדת הכספים
7145721:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7993596.doc	2025-06-10	הוועדה המיוחדת לפניות הציבור
6496992:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7280073.doc	2025-05-27	ועדת החינוך התרבות והספורט
7303852:1	https://fs.knesset.gov.il/25/Committees/25_ptv_8177455.doc	2025-05-26	הוועדה המיוחדת לזכויות הילד
6762115:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7572566.doc	2025-05-19	הוועדה לקידום מעמד האישה ולשוויון מגדרי
6483921:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7265525.doc	2025-05-13	הוועדה המיוחדת לעובדים זרים
7060258:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7898650.doc	2025-05-12	ועדת הפנים והגנת הסביבה
6669495:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7470709.doc	2025-05-12	ועדת העבודה והרווחה
6484469:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7266136.doc	2025-05-20	ועדת החוקה, חוק ומשפט
6933753:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7762391.doc	2025-05-19	ועדת החינוך התרבות והספורט
6395004:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7166662.doc	2025-05-05	ועדת הבריאות
6024447:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6754622.doc	2025-03-30	ועדת החוקה, חוק ומשפט
6132205:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6874505.doc	2025-04-08	ועדת החוקה, חוק ומשפט
6360679:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7128501.doc	2025-04-27	הוועדה המיוחדת לעובדים זרים
6128928:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6870857.doc	2025-04-07	הוועדה המיוחדת לחיזוק ופיתוח הנגב והגליל
6190389:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6939193.doc	2025-05-06	ועדת הכלכלה
6483864:1	https://fs.knesset.gov.il/25/Committees/25_ptv_7265462.doc	2025-05-06	ועדת העבודה והרווחה
6018149:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6747622.doc	2025-03-23	הוועדה המיוחדת לעובדים זרים
5839665:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6549180.doc	2025-03-10	ועדת העבודה והרווחה
6233756:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6987415.doc	2025-03-10	ועדת החינוך התרבות והספורט
6106093:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6845429.doc	2025-03-12	הוועדה המיוחדת לטיפול בשורדי השואה
6077895:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6814092.doc	2025-03-17	הוועדה לביטחון לאומי
8701855:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9833947.doc	2025-03-17	ועדת החינוך התרבות והספורט
5949606:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6671421.doc	2025-03-10	הוועדה המיוחדת לעובדים זרים
6077894:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6814091.doc	2025-03-18	ועדת הכלכלה
8403115:1	https://fs.knesset.gov.il/25/Committees/25_ptv_9484951.doc	2025-03-19	ועדת החינוך התרבות והספורט
5852843:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6563835.doc	2025-02-25	הוועדה המיוחדת לעובדים זרים
5810717:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6517015.doc	2025-02-24	הוועדה לביטחון לאומי
5208055:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5850384.doc	2025-03-03	ועדת הכספים
6081504:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6818101.doc	2025-03-03	הוועדה לביטחון לאומי
5949380:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6671169.doc	2025-03-04	ועדת החינוך התרבות והספורט
5191540:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5831685.doc	2025-02-18	הוועדה לביטחון לאומי
5810516:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6516792.doc	2025-02-19	ועדת העבודה והרווחה
5513565:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6190176.doc	2025-02-11	הוועדה לפיקוח על הקרן לאזרחי ישראל
5196975:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5838072.doc	2025-02-18	הוועדה למיזמים ציבוריים
5877589:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6591338.doc	2025-02-18	ועדת הבריאות
5468750:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6140314.doc	2025-02-17	ועדת החינוך התרבות והספורט
5124026:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5746513.doc	2025-02-11	ועדת החוקה, חוק ומשפט
5653521:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6345692.doc	2025-02-11	הוועדה לביטחון לאומי
5303887:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5957065.doc	2025-02-05	ועדת הבריאות
5109132:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5727307.doc	2025-02-04	ועדת המדע והטכנולוגיה
5468788:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6140356.doc	2025-02-03	ועדת החינוך התרבות והספורט
5178390:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5815255.doc	2025-01-28	הוועדה המיוחדת לזכויות הילד
5105235:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5722300.doc	2025-01-30	הוועדה המיוחדת לצמצום פערים חברתיים בפרי
5424855:1	https://fs.knesset.gov.il/25/Committees/25_ptv_6091554.doc	2025-01-29	ועדת הפנים והגנת הסביבה
5178110:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5814905.doc	2025-01-22	ועדת החינוך התרבות והספורט
5043401:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5642770.doc	2025-01-15	ועדת הכנסת
5177613:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5814281.doc	2025-01-20	ועדת הכנסת
5130023:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5754231.doc	2025-01-21	ועדת הבריאות
4948148:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5520328.doc	2025-01-07	ועדת החוקה, חוק ומשפט
5068176:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5674635.doc	2025-01-07	ועדת החינוך התרבות והספורט
5103548:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5720143.doc	2025-01-14	הוועדה המיוחדת לחיזוק ופיתוח הנגב והגליל
4947506:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5519477.doc	2024-12-30	הוועדה המשותפת של ועדת החוקה, חוק ומשפט,
5009945:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5599769.doc	2025-01-06	ועדת החינוך התרבות והספורט
4938098:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5507435.doc	2024-12-22	ועדת הכלכלה
4948279:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5520493.doc	2025-01-13	ועדת הכספים
5080261:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5690211.doc	2025-01-08	ועדת הכלכלה
4977764:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5558402.doc	2024-12-26	ועדת הכספים
4884240:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5438371.doc	2024-12-17	הוועדה לביטחון לאומי
4975454:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5555433.doc	2024-12-17	ועדת העלייה, הקליטה והתפוצות
4963910:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5540594.doc	2024-12-23	ועדת החינוך התרבות והספורט
4833212:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5372830.doc	2024-12-03	ועדת החוקה, חוק ומשפט
4963527:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5540111.doc	2024-12-03	ועדת הפנים והגנת הסביבה
4933216:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5501163.doc	2024-12-16	הוועדה לקידום מעמד האישה ולשוויון מגדרי
4876963:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5429093.doc	2024-12-10	הוועדה לפיקוח על הקרן לאזרחי ישראל
4727701:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5228513.doc	2024-12-02	ועדת החוקה, חוק ומשפט
4876642:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5428685.doc	2024-12-02	ועדת המדע והטכנולוגיה
4823783:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5360717.doc	2024-11-26	ועדת החוקה, חוק ומשפט
4707073:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5194470.doc	2024-11-19	ועדת העלייה, הקליטה והתפוצות
4805254:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5337412.doc	2024-11-19	ועדת החוץ והביטחון
4823720:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5360637.doc	2024-11-26	הוועדה לביטחון לאומי
4726685:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5226859.doc	2024-11-20	ועדת החוקה, חוק ומשפט
4823628:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5360521.doc	2024-11-25	ועדת החינוך התרבות והספורט
4878801:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5431429.doc	2024-12-09	הוועדה לענייני ביקורת המדינה
4696788:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5177442.doc	2024-11-13	הוועדה לביטחון לאומי
4727533:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5228244.doc	2024-11-12	ועדת העלייה, הקליטה והתפוצות
4709081:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5197805.doc	2024-11-04	ועדת הכלכלה
4687104:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5161460.doc	2024-11-05	ועדת החינוך התרבות והספורט
4709730:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5198854.doc	2024-11-10	ועדת הכנסת
4715995:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5209115.doc	2024-11-11	ועדת החינוך התרבות והספורט
4709818:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5198990.doc	2024-11-19	ועדת החוקה, חוק ומשפט
4805108:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5337234.doc	2024-11-18	ועדת המדע והטכנולוגיה
4687074:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5161412.doc	2024-11-04	הוועדה לקידום מעמד האישה ולשוויון מגדרי
4662665:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5121240.doc	2024-10-28	הוועדה המיוחדת לזכויות הילד
4715829:1	https://fs.knesset.gov.il/25/Committees/25_ptv_5208850.doc	2024-10-28	ועדת העבודה והרווחה
